epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.42626243829727173,2.2363126277923584,5e-05,0.662925660610199,1.417824149131775
1,0.5137401223182678,1.8408726453781128,5e-05,0.6770820021629333,1.3743417263031006
2,0.5565544366836548,1.7111601829528809,5e-05,0.694171667098999,1.3242945671081543
3,0.5847041606903076,1.6290160417556763,5e-05,0.7121540904045105,1.279207468032837
4,0.6058722138404846,1.5576773881912231,5e-05,0.7226119041442871,1.231435775756836
5,0.6288893222808838,1.4980775117874146,5e-05,0.7402117252349854,1.1911317110061646
6,0.6448609828948975,1.44912588596344,5e-05,0.7473536729812622,1.156783938407898
7,0.6608008146286011,1.4047245979309082,5e-05,0.7613824605941772,1.1215952634811401
8,0.6744771599769592,1.3676419258117676,5e-05,0.7699273228645325,1.0962262153625488
9,0.6883129477500916,1.3326473236083984,5e-05,0.7868894338607788,1.054506540298462
10,0.7039020657539368,1.2989513874053955,5e-05,0.7949241399765015,1.030892014503479
11,0.7124457955360413,1.2671116590499878,5e-05,0.8067848682403564,0.998476505279541
12,0.7255802154541016,1.2335857152938843,5e-05,0.810993492603302,0.980627715587616
13,0.7333588600158691,1.2143323421478271,5e-05,0.8197934031486511,0.9576897025108337
14,0.7427314519882202,1.1896098852157593,5e-05,0.8266802430152893,0.939696729183197
15,0.7585437297821045,1.150309681892395,5e-05,0.8414742946624756,0.9068624377250671
16,0.7632619142532349,1.1340104341506958,5e-05,0.8446626663208008,0.8950579762458801
17,0.7714231014251709,1.1135910749435425,5e-05,0.8455554246902466,0.8817152380943298
18,0.7784684896469116,1.0967106819152832,5e-05,0.8589465618133545,0.854022204875946
19,0.7855457663536072,1.0726008415222168,5e-05,0.8688942790031433,0.831565797328949
20,0.7964167594909668,1.052366852760315,5e-05,0.8635377883911133,0.834142804145813
21,0.7979151010513306,1.044587254524231,5e-05,0.8794796466827393,0.8036746978759766
22,0.8082759380340576,1.0131314992904663,5e-05,0.875015914440155,0.8043749332427979
23,0.8138229846954346,1.0071381330490112,5e-05,0.875015914440155,0.7961335182189941
