epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3321537971496582,2.655076503753662,5e-05,0.5274837613105774,1.8896273374557495
1,0.4100356996059418,2.2268831729888916,5e-05,0.568294882774353,1.754846215248108
2,0.452053040266037,2.082949161529541,5e-05,0.589210569858551,1.6581743955612183
3,0.48192426562309265,1.9816372394561768,5e-05,0.6244101524353027,1.5669541358947754
4,0.510329008102417,1.900117039680481,5e-05,0.6349955201148987,1.5142076015472412
5,0.5296480655670166,1.8474069833755493,5e-05,0.653232991695404,1.457143783569336
6,0.544695258140564,1.7913306951522827,5e-05,0.6682820916175842,1.4155107736587524
7,0.5590729117393494,1.7458089590072632,5e-05,0.6820558309555054,1.3773938417434692
8,0.5761285424232483,1.706920862197876,5e-05,0.6944267153739929,1.3437896966934204
9,0.5935985445976257,1.6574773788452148,5e-05,0.715087354183197,1.3036912679672241
10,0.5989862084388733,1.6290949583053589,5e-05,0.7140671014785767,1.2802225351333618
11,0.6104947924613953,1.6060084104537964,5e-05,0.7274582386016846,1.238582968711853
12,0.6213019490242004,1.568188190460205,5e-05,0.7354929447174072,1.217576503753662
13,0.6348189115524292,1.5358866453170776,5e-05,0.7423797845840454,1.1992677450180054
14,0.6424062848091125,1.5158101320266724,5e-05,0.7479913234710693,1.1767781972885132
15,0.6513006687164307,1.4886667728424072,5e-05,0.7555158734321594,1.157280683517456
16,0.6552218794822693,1.4742532968521118,5e-05,0.7696722149848938,1.1238373517990112
17,0.6632874011993408,1.457211971282959,5e-05,0.7759214639663696,1.104984164237976
18,0.6676868200302124,1.4366053342819214,5e-05,0.779747486114502,1.0849952697753906
19,0.6774738430976868,1.412774682044983,5e-05,0.7880372405052185,1.0667270421981812
20,0.6834672093391418,1.3914437294006348,5e-05,0.7916082143783569,1.0542839765548706
21,0.687515914440155,1.3775687217712402,5e-05,0.7939038276672363,1.0419881343841553
22,0.6928716897964478,1.3629666566848755,5e-05,0.7992603182792664,1.0283589363098145
23,0.7017661333084106,1.3361830711364746,5e-05,0.8038515448570251,1.0186272859573364
