epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4140525460243225,2.1985530853271484,5e-05,0.6163754463195801,1.5246450901031494
1,0.5280859470367432,1.800425410270691,5e-05,0.683841347694397,1.3403706550598145
2,0.5818030834197998,1.6486287117004395,5e-05,0.7334523797035217,1.2080940008163452
3,0.630547046661377,1.5193926095962524,5e-05,0.7681418061256409,1.098031997680664
4,0.6689301133155823,1.4122288227081299,5e-05,0.8057645559310913,1.0083872079849243
5,0.7066437005996704,1.3184844255447388,5e-05,0.8277005553245544,0.9408783912658691
6,0.7354629039764404,1.243512749671936,5e-05,0.8595842123031616,0.8636347055435181
7,0.7621461153030396,1.1761196851730347,5e-05,0.8770564794540405,0.8278292417526245
8,0.7801581025123596,1.126670479774475,5e-05,0.8862389922142029,0.7800184488296509
9,0.8025376200675964,1.0676485300064087,5e-05,0.9035837054252625,0.7373501062393188
10,0.8203583359718323,1.0248652696609497,5e-05,0.9080474376678467,0.7254227995872498
11,0.836266279220581,0.9794912338256836,5e-05,0.9192705154418945,0.6965750455856323
12,0.8485080599784851,0.9468510150909424,5e-05,0.9302384853363037,0.6691524982452393
13,0.8620887398719788,0.9121719598770142,5e-05,0.9313862919807434,0.6611361503601074
14,0.8738523125648499,0.878061056137085,5e-05,0.9315138459205627,0.6470088958740234
15,0.8808977007865906,0.8582807779312134,5e-05,0.9424818158149719,0.6169480085372925
16,0.8851058483123779,0.8391401171684265,5e-05,0.9484759569168091,0.6065793633460999
17,0.8941277861595154,0.8106648921966553,5e-05,0.9515367746353149,0.5903093218803406
18,0.9013325572013855,0.7898745536804199,5e-05,0.9497513175010681,0.586752712726593
19,0.9070708751678467,0.7740012407302856,5e-05,0.9533222913742065,0.5810866355895996
20,0.913446843624115,0.7547414302825928,5e-05,0.9595714807510376,0.5643912553787231
21,0.9138293862342834,0.7452731132507324,5e-05,0.9600816369056702,0.554935872554779
22,0.9193126559257507,0.7334601879119873,5e-05,0.9653105735778809,0.5523110032081604
23,0.9240308403968811,0.7123274207115173,5e-05,0.9655656218528748,0.5348712801933289
